Package name,Package size,Package size in system (%)
skeleton-init-common,16062,0.0
skeleton-init-systemd,24,0.0
systemd,30920564,12.0
rsyslog,1631308,0.6
tzdata,1039131,0.4
unknown,13738548,5.3
toolchain,307,0.0
dashboard-pi-runtime,8140,0.0
dbus,802860,0.3
fontconfig,578039,0.2
toolchain-external-bootlin,5638546,2.2
xz,336019,0.1
kmod,266152,0.1
pcre2,603832,0.2
libglib2,4737362,1.8
util-linux,367096,0.1
busybox,865789,0.3
icu,39640552,15.4
harfbuzz,3479256,1.4
kbd,2440236,0.9
libcec,717563,0.3
libevdev,159376,0.1
libgpg-error,225281,0.1
libgcrypt,1252824,0.5
libinput,1288247,0.5
liblogging,24048,0.0
libpsl,112275,0.0
sqlite,2811728,1.1
libxml2,1353968,0.5
libxslt,362065,0.1
webp,602208,0.2
dashboard-pi-wpewebkit,113220253,44.0
dashboard-pi-launcher,10016,0.0
libzlib,87840,0.0
libxcrypt,210720,0.1
libcap,60952,0.0
libffi,38752,0.0
libxkbcommon,325408,0.1
util-linux-libs,900112,0.3
expat,161488,0.1
libpng,210720,0.1
freetype,714448,0.3
jpeg-turbo,1114208,0.4
libplatform,49488,0.0
libdrm,96064,0.0
mesa3d,18441436,7.2
libepoxy,1315160,0.5
libestr,13952,0.0
libfastjson,47216,0.0
nghttp2,182040,0.1
libsoup3,641336,0.2
libtasn1,79648,0.0
shared-mime-info,136584,0.1
ca-certificates,216590,0.1
dejavu,3099715,1.2
